Water,Eau,Wasser,Acqua,みず,물,Agua
Abomasite,Blizzarite,Rexblisarnit,Abomasnowite,ユキノオナイト,눈설왕나이트,Abomasnowita
Kangaskhanite,Kangourexite,Kangamanit,Kangaskhanite,ガルーラナイト,캥카나이트,Kangaskhanita
Gyaradosite,Léviatorite,Garadosnit,Gyaradosite,ギャラドスナイト,갸라도스나이트,Gyaradosita
Absolite,Absolite,Absolnit,Absolite,アブソルナイト,앱솔나이트,Absolita
Charizardite Y,Dracaufite Y,Gluraknit Y,Charizardite Y,リザードナイトY,리자몽나이트Y,Charizardita Y
Alakazite,Alakazamite,Simsalanit,Alakazamite,フーディナイト,후디나이트,Alakazamita
Heracronite,Scarhinoïte,Scarhinoïte,Heracrossite,ヘラクロスナイト,헤라크로스나이트,Heracrossita
Mawilite,Mysdibulite,Flunkifernit,Mawilite,クチートナイト,입치트나이트,Mawilita
Manectite,Élecsprintite,Voltensonit,Manectricite,ライボルトナイト,썬더볼트나이트,Manectricita
Garchompite,Carchacrokite,Knakracknit,Garchompite,ガブリアスナイト,한카리아스나이트,Garchompita
Latiasite,Latiasite,Latiasnit,Latiasite,ラティアスナイト,라티아스나이트,Latiasita
Latiosite,Latiosite,Latiosnit,Latiosite,ラティオスナイト,라티오스나이트,Latiosita
Swampertite,Laggronite,Sumpexnit,Swampertite,ラグラージナイト,대짱이나이트,Swampertita
Sceptilite,Jungkite,Gewaldronit,Sceptilite,ジュカインナイト,나무킹나이트,Sceptilita
Altarianite,Altarite,Altarianit,Altarite,チルタリスナイト,파비코리나이트,Altarianita
Galladite,Gallamite,Galagladinit,Galladite,エルレイドナイト,엘레이드나이트,Galladita
Audinite,Nanméouïte,Ohrdochnit,Audinite,タブンネナイト,다부니나이트,Audinita
Metagrossite,Métalossite,Metagrossnit,Metagrossite,メタグロスナイト,메타그로스나이트,Metagrossita
Sharpedonite,Sharpedite,Tohaidonit,Sharpedite,サメハダナイト,샤크니아나이트,Sharpedonita
Slowbronite,Flagadossite,Lahmusnit,Slowbroite,ヤドランナイト,야도란나이트,Slowbronita
Steelixite,Steelixite,Stahlosnit,Steelixite,ハガネールナイト,강철톤나이트,Steelixita
Pidgeotite,Roucarnagite,Taubossnit,Pidgeotite,ピジョットナイト,피죤투나이트,Pidgeotita
Glalitite,Oniglalite,Firnontornit,Glalite,オニゴーリナイト,얼음귀신나이트,Glalita
Diancite,Diancite,Diancienit,Diancite,ディアンシナイト,디안시나이트,Diancita
Cameruptite,Caméruptite,Cameruptnit,Cameruptite,バクーダナイト,폭타나이트,Cameruptita
Lopunnite,Lockpinite,Schlapornit,Lopunnite,ミミロップナイト,이어롭나이트,Lopunnita
Salamencite,Drattakite,Brutalandanit,Salamencite,ボーマンダナイト,보만다나이트,Salamencita
Beedrillite,Dardargnite,Bibornit,Beedrillite,スピアナイト,독침붕나이트,Beedrillita
Poké Ball,Poké Ball,Pokéball,Poké Ball,モンスターボール,몬스터볼,Poké Ball
Great Ball,Super Ball,Superball,Mega Ball,スーパーボール,수퍼볼,Superball*
Ultra Ball,Hyper Ball,Hyperball,Ultra Ball,ハイパーボール,하이퍼볼,Ultraball*
Master Ball,Master Ball,Meisterball,Master Ball,マスターボール,마스터볼,Master Ball
Safari Ball,Safari Ball,Safariball,Safari Ball,サファリボール,사파리볼,Safari Ball
Heavy Ball,Masse Ball,Schwerball,Peso Ball,ヘビーボール,헤비볼,Peso Ball
Level Ball,Niveau Ball,Levelball,Level Ball,レベルボール,레벨볼,Nivel Ball
Lure Ball,Appat Ball,Köderball,Esca Ball,ルアーボール,루어볼,Cebo Ball
Fast Ball,Speed Ball,Turboball,Rapid Ball,スピードボール,스피드볼,Rapid Ball
Friend Ball,Copain Ball,Freundesball,Friend Ball,フレンドボール,프랜드볼,Amigo Ball
Moon Ball,Lune Ball,Mondball,Luna Ball,ムーンボール,문볼,Luna Ball
Love Ball,Love Ball,Sympaball,Love Ball,ラブラブボール,러브러브볼,Amor Ball
Sport Ball,Compét'Ball,Turnierball,Gara Ball,コンペボール,콤페볼,Competi Ball
Net Ball,Filet Ball,Netzball,Rete Ball,ネットボール,넷트볼,Malla Ball
Dive Ball,Scuba Ball,Tauchball,Sub Ball,ダイブボール,다이브볼,Buceo Ball
Nest Ball,Faiblo Ball,Nestball,Minor Ball,ネストボール,네스트볼,Nido Ball
Repeat Ball,Bis Ball,Wiederball,Bis Ball,リピートボール,{{tt,Acopio Ball
Timer Ball,Chrono Ball,Timerball,Timer Ball,タイマーボール,타이마볼,Turno Ball
Luxury Ball,Luxe Ball,Luxusball,Chich Ball,ゴージャスボール,럭셔리볼,Lujo Ball
Premier Ball,Honor Ball,Premierball,Premier Ball,プレミアボール,프레미어볼,Honor Ball
Heal Ball,Soin Ball,Heilball,Cura Ball,ヒールボール,힐볼,Sana Ball
Dusk Ball,Sombre Ball,Finsterball,Scuro Ball,ダークボール,다크볼,Ocaso Ball
Quick Ball,Rapide Ball,Flottball,Velox Ball,クイックボール,퀵볼,Veloz Ball
Park Ball,Parc Ball,Parkball,Parco Ball,パークボール,파크볼,Parque Ball
Cherish Ball,Mémoire Ball,Jubelball,Pregio Ball,プレジャスボール,프레셔스볼,Gloria Ball
Dream Ball,Rêve Ball,Traumball,Dream Ball,ドリームボール,드림볼,Ensueño Ball
Flower Mail,Lettre Fleur,Blumenbrief,Messaggio Fiore,はながらメール,꽃무늬메일,Carta Flor
Surf Mail,Lettre Surf,Surferbrief,Mess. Surf,なみのりメール,파도타기메일,Carta Surf
Litebluemail,LetrBleuCiel,Cyanbrief,Mess. Azzurro,みずいろメール,옥빛메일,Carta Azul
Portraitmail,LetrPortrait,Portraitbrief,Mess. Ritratto,にがおえメール,초상화메일,Cart-Retrato
Lovely Mail,LetrCharm.,Herzbrief,Mess. Dolce,ラブリーメール,러브리메일,Carta Amor
Eon Mail,Lettre Evoli,Anara-Brief,Mess. Eon,ブイブイメール,브이브이메일,Carta Eón
Morph Mail,Lettre Morph,Morph-Brief,Mess. Morph,へんしんメール,변신메일,Cartmorfosis
Bluesky Mail,LetrCielBleu,Kobaltbrief,Mess. Cielo,あおぞらメール,푸른하늘메일,Cartaceleste
Music Mail,Lettre Musique,Melodiebrief,Mess. Musica,おんぷメール,음표메일,Carta Música
Mirage Mail,Lettre Mirage,Trugbrief,Mess. Visione,まぼろしメール,환상의메일,C.Espejismo
Orange Mail,Lettre Oranj,Zigzagbrief,Mess. Agrume,オレンジメール,,Carta Naranja
Harbor Mail,Lettre Port,Hafenbrief,Mess. Porto,ハーバーメール,,Carta Puerto
Glitter Mail,Lettre Brill,Glitzerbrief,Mess. Luci,キラキラメール,,Carta Brillo
Mech Mail,Lettre Meca,Eilbrief,Mess. Tecno,メカニカルメール,,Carta Imán
Wood Mail,Lettre Bois,Waldbrief,Mess. Bosco,ウッディメール,,Carta Madera
Wave Mail,Lettre Vague,Wellenbrief,Mess. Onda,クロスメール,,Carta Ola
Bead Mail,Lettre Bulle,Perlenbrief,Mess. Perle,トレジャーメール,,Carta Imagen
Shadow Mail,Lettre Ombre,Dunkelbrief,Mess. Ombra,シャドーメール,,Carta Sombra
Tropic Mail,Lettre Tropi,Tropenbrief,Mess. Tropic,トロピカルメール,,Carta Tropical
Dream Mail,Lettre Songe,Traumbrief,Mess. Sogno,ドリームメール,,Carta Sueño
Fab Mail,Lettre Cool,Edelbrief,Mess. Fab,ミラクルメール,,Carta Fabulosa
Retro Mail,Lettre Retro,Retrobrief,Mess. Retro,レトロメール,,Carta Retro
Grass Mail,Lettre Herbe,Wiesenbrief,Messaggio Erba,グラスメール,잔디메일,Carta Hierba
Flame Mail,Lettre Feu,Feuerbrief,Messaggio Fiamma,フレイムメール,플레임메일,Carta Fuego
Bubble Mail,Lettre Mer,Wasserbrief,Messaggio Bolla,ブルーメール,블루메일,Carta Pompas
Bloom Mail,Lett. Pétale,Blütenbrief,Messaggio Petalo,ブルームメール,블룸메일,Carta Flores
Tunnel Mail,Lettre Mine,Minenbrief,Messaggio Tunnel,トンネルメール,터널메일,Carta Mina
Steel Mail,Lettre Acier,Stahlbrief,Messaggio Lega,スチールメール,스틸메일,Carta Acero
Heart Mail,Lettre Coeur,Rosabrief,Messaggio Cuore,ラブラブメール,러브러브메일,Carta Corazon
Snow Mail,Lettre Neige,Schneebrief,Messaggio Neve,ブリザードメール,블리자드메일,Carta Nieve
Space Mail,Lettre Cosmo,Sternbrief,Messaggio Spazio,スペースメール,스페이스메일,Carta Sideral
Air Mail,Lettre Avion,Luftbrief,Messaggio Aereo,エアメール,에어메일,Carta Aérea
Mosaic Mail,Lettremosaik,Mosaikbrief,Messaggio Iride,モザイクメール,모자이크메일,Carta Mosaico
Brick Mail,Lettre Brik,Ziegelbrief,Messaggio Muro,ブリックメール,브릭메일,Carta Pared
Greet Mail,Lettre Salut,Grußbrief,Messaggio Inizio,はじめてメール,첫메일,Carta Inicial
Favored Mail,Lettre Fan,Faiblebrief,Messaggio TVB,だいすきメール,애호메일,Carta Favoritos
RSVP Mail,Lettre Invit,Einladebrief,Messaggio Invito,おさそいメール,권유메일,Carta Invitar
Thanks Mail,Lettre Merci,Dankesbrief,Messaggio Grazie,かんしゃメール,감사메일,Carta Gracias
Inquiry Mail,Lettre Demande,Fragebrief,Messaggio Chiedi,しつもんメール,질문메일,Carta Pregunta
Like Mail,Lettre Avis,Insiderbrief,Messaggio,おすすめメール,추천메일,Carta Gustos
Reply Mail,Lettre Réponse,Rückbrief,Messaggio,おかえしメール,답장메일,Carta Respuesta
BridgeMail S,Lettre PontS,Brückbrief H,Messaggio,ブリッジメールＳ,브리지메일S,Carta Puente S
BridgeMail D,Lettre PontY,Brückbrief M,Messaggio,ブリッジメールＨ,브리지메일M,Carta Puente F
BridgeMail T,Lettre PontF,Brückbrief Z,Messaggio,ブリッジメールＣ,브리지메일C,Carta Puente A
BridgeMail V,Lettre PontH,Brückbrief D,Messaggio,ブリッジメールＶ,브리지메일V,Carta Puente V
BridgeMail M,Lettre PontI,Brückbrief W,Messaggio,ブリッジメールＷ,브리지메일W,Carta Puente P
Guard Spec.,Defense Spec,Megablock,Superguardia,エフェクトガード,이펙트가드,Protec. Esp.
Dire Hit,Muscle +,Angriffplus,Supercolpo,クリティカット,크리티컬커터,Directo
X Attack,Attaque +,X-Angriff,Attacco X,プラスパワー,플러스파워,Ataque X
X Defend,Defense +,X-Abwehr,Difesa X,ディフェンダー,디펜드업,Defensa X
X Speed,Vitesse +,X-Tempo,Velocità X,スピーダー,스피드업,Velocidad X
X Accuracy,Precision +,X-Treffer,Precisione X,ヨクアタール,잘-맞히기,Precisión X
X Special,Special +,X-Spezial,Special X,スペシャルアップ,스페셜업,Especial X
X Sp. Def,Def. Spé. +,X-SpezialVer,Dif. Sp. X,スペシャルガード,스페셜가드,Def. Esp. X
Poké Doll,Poképoupee,Poképuppe,Pokébambola,ピッピにんぎょう,삐삐인형,Poké Muñeco
Fluffy Tail,Queue Skitty,Eneco-Rute,Coda Skitty,エネコのシッポ,에나비꼬리,Cola Skitty
Blue Flute,Flute Bleue,Blaue Flöte,Flauto Blu,あおいビードロ,파랑비드로,Flauta Azul
Yellow Flute,Flute Jaune,Gelbe Flöte,Flauto Giallo,きいろビードロ,노랑비드로,Flauta Amarilla
Red Flute,Flute Rouge,Rote Flöte,Flauto Rosso,あかいビードロ,빨강비드로,Flauta Roja
Poké Toy,Poképlumet,Pokéwedel,Pokégingillo,ポケじゃらし,포켓풀,Pokéseñuelo
Ability Urge,Appel CapSpé,Fäh.-Appell,Chiamabilità,スキルコール,스킬콜,Habilitador
Item Drop,Jette Objet,Itemabwurf,Lascioggetto,アイテムドロップ,아이템드롭,Tiraobjeto
Item Urge,Appel Objet,Itemappell,Chiamoggetto,アイテムコール,아이템콜,Activaobjeto
Reset Urge,Réamorçage,Umkehrappell,Ripristino,フラットコール,플랫콜,Quitaestado
Potion,Potion,Trank,Pozione,キズぐすり,상처약,Poción
Antidote,Antidote,Gegengift,Antidoto,どくけし,해독제,Antídoto
Burn Heal,Anti-Brûle,Feuerheiler,Antiscottatura,やけどなおし,화상치료제,Antiquemar
Ice Heal,Antigel,Eisheiler,Antigelo,こおりなおし,얼음상태치료제,Antihielo
Awakening,Reveil,Aufwecker,Sveglia,ねむけざまし,잠깨는약,Despertar
Parlyz Heal,Anti-Para,Para-Heiler,Antiparalisi,まひなおし,마비치료제,Antiparalizador
Full Restore,Guerison,Top-Genesung,Ricarica Totale,かいふくのくすり,회복약,Restaurar Todo
Max Potion,Potion Max,Top-Trank,Pozione Max,まんたんのくすり,풀회복약,Máxima Poción
Hyper Potion,Hyper Potion,Hypertrank,Iperpozione,すごいキズぐすり,고급상처약,Hiperpoción
Super Potion,Super Potion,Supertrank,Super Pozione,いいキズぐすり,좋은상처약,Superpoción
Full Heal,Total Soin,Hyperheiler,Cura Totale,なんでもなおし,만병통치약,Cura Total
Revive,Rappel,Beleber,Revitalizzante,げんきのかけら,기력의조각,Revivir
Max Revive,Rappel Max,Top-Beleber,Revitalizzante Max,げんきのかたまり,기력의덩어리,Revivir Máximo
Fresh Water,Eau Fraiche,Tafelwasser,Acqua Fresca,おいしいみず,맛있는물,Agua Fresca
Soda Pop,Soda Cool,Sprudel,Gazzosa,サイコソーダ,미네랄사이다,Refresco
Lemonade,Limonade,Limonade,Lemonsucco,ミックスオレ,후르츠밀크,Limonada
Ether,Huile,Äther,Etere,ピーピーエイド,ＰＰ에이드,Éter
Max Ether,Huile Max,Top-Äther,Etere Max,ピーピーリカバー,ＰＰ회복,Éter Máximo
Elixir,Elixir,Elixier,Elisir,ピーピーエイダー,ＰＰ에이더,Elixir
Max Elixir,Max Elixir,Top-Elixier,Elisir Max,ピーピーマックス,ＰＰ맥스,Elixir Máximo
Moomoo Milk,Lait Meumeu,Kuhmuh-Milch,Latte Mumu,モーモーミルク,튼튼밀크,Leche Mu-Mu
Energy Powder,Poudrénergie,Energiestaub,Polvenergia,ちからのこな,힘의가루,Polvo Energía
Energy Root,Racinénergie,Kraftwurzel,Radicenergia,ちからのねっこ,힘의뿌리,Raíz Energía
Heal Powder,Poudre Soin,Heilpuder,Polvocura,ばんのうごな,만능가루,Polvo Curación
Revival Herb,Herbe Rappel,Vitalkraut,Vitalerba,ふっかつそう,부활 초,Hierba Revivir
Sacred Ash,Cendresacrée,Zauberasche,Magicenere,せいなるはい,성스러운분말,Ceniza Sagrada
Rage Candy Bar,Bonbon Rage,Wutkeks,Iramella,いかりまんじゅう,분노의호두과자,Caramelo Furia
Lava Cookie,Lava Cookie,Lavakeks,Lavottino,フエンせんべい,용암전병,Galleta Lava
Berry Juice,Jus De Baie,Beerensaft,Succo di Bacca,きのみジュース,나무열매쥬스,Zumo de Baya
HP Up,PV Plus,KP-Plus,PS-Su,マックスアップ,맥스업,Más PS
Protein,Proteine,Protein,Proteina,タウリン,타우린,Proteína
Iron,Fer,Eisen,Ferro,ブロムヘキシン,사포닌,Hierro
Carbos,Carbone,Carbon,Carburante,インドメタシン,알칼로이드,Carburante
Calcium,Calcium,Kalzium,Calcio,リゾチウム,리보플라빈,Calcio
Rare Candy,Super Bonbon,Sonderbonbon,Caramella Rara,ふしぎなアメ,이상한사탕,Carameloraro
PP Up,PP Plus,AP-Plus,PP-Su,ポイントアップ,포인트 업,Más PP
Zinc,Zinc,Zink,Zinco,キトサン,키토산,Zinc
PP Max,PP Max,AP-Top,PP-Max,ポイントマックス,포인트 맥스,PP Máximos
Old Gateau,Vieux Gâteau,Spezialität,Dolce Gateau,もりのヨウカン,숲의양갱,Barrita Plus
Sweet Heart,Chococœur,Herzkonfekt,Dolcecuore,ハートスイーツ,하트스위트,Corazón Dulce
Health Wing,Aile Santé,Heilfeder,Piumsalute,たいりょくのハネ,체력날개,Pluma Vigor
Muscle Wing,Aile Force,Kraftfeder,Piumpotenza,きんりょくのハネ,근력날개,Pluma Músculo
Resist Wing,Aile Armure,Abwehrfeder,Piumtutela,ていこうのハネ,저항력날개,Pluma Aguante
Genius Wing,Aile Esprit,Geniefeder,Piumingegno,ちりょくのハネ,지력날개,Pluma Intelecto
Clever Wing,Aile Mental,Espritfeder,Piumintuito,せいしんのハネ,정신력날개,Pluma Mente
Swift Wing,Aile Sprint,Flinkfeder,Piumreazione,しゅんぱつのハネ,순발력날개,Pluma Ímpetu
Casteliacone,Glace Volute,Stratos-Eis,Conostropoli,ヒウンアイス,구름아이스,Porcehelado
Lumiose Galette,Galette Illumis,Illumina-Galette,Pan di Lumi,ミアレガレット,미르갈레트,Crêpe Luminalia
Shalour Sable,Sablé Yantreizh,Yantara-Sablé,Yantafrollino,シャラサブレ,사라사블레,Galleta Yantra
TM,CT,TM,MT,わざマシン,기술머신,MT
HM,CS,VM,MN,ひでんマシン,비전머신,MO
Berry,Baie,Beere,Bacca,きのみ,나무열매,Baya
Gold Berry,Baie Doree,Goldbeere,Bacca Oro,おうごんのみ,황금열매,Baya Dorada
PSNCureBerry,Baie Antidot,Gegengiftbeere,Baccantiveleno,どくけしのみ,해독열매,Bayantídoto
PRZCureBerry,Baie AntiPAR,AntiPARBeere,Baccantiparalisi,まひなおしのみ,마비치료열매,Antiparabaya
Mint Berry,Baie Menthe,Minzbeere,Bacca Menta,はっかのみ,박하열매,Baya Menta
Burnt Berry,Baie Brulure,Brandbeere,Bacca Bruciata,やけたきのみ,불탄나무열매,Antiquembaya
Ice Berry,Baie Gel,Eisbeere,Bacca Ghiaccio,こおったきのみ,얼은나무열매,Baya Hielo
Bitter Berry,Baie Amere,Bitterbeere,Bacca Amara,にがいきのみ,쓴맛나무열매,Bayamarga
MysteryBerry,Baie Mystere,Rätselbeere,Bacca Misteriosa,ふしぎなきのみ,이상한나무열매,Bayamisterio
MiracleBerry,Baie Miracle,Wunderbeere,Bacca Miracolosa,きせきのみ,기적의열매,Baya Milagro
Cheri Berry,Baie Ceriz,Amrenabeere,Baccaliegia,クラボのみ,버치열매,Baya Zreza
Chesto Berry,Baie Maron,Maronbeere,Baccastagna,カゴのみ,유루열매,Baya Atania
Pecha Berry,Baie Pecha,Pirsifbeere,Baccapesca,モモンのみ,복슝열매,Baya Meloc
Rawst Berry,Baie Fraive,Fragiabeere,Baccafrago,チーゴのみ,복분열매,Baya Safre
Aspear Berry,Baie Willia,Wilbirbeere,Baccaperina,ナナシのみ,배리열매,Baya Perasi
Leppa Berry,Baie Mepo,Jonagobeere,Baccamela,ヒメリのみ,과사열매,Baya Zanama
Oran Berry,Baie Oran,Sinelbeere,Baccarancia,オレンのみ,오랭열매,Baya Aranja
Persim Berry,Baie Kika,Persimbeere,Baccaki,キーのみ,시몬열매,Baya Caquic
Lum Berry,Baie Prine,Prunusbeere,Baccaprugna,ラムのみ,리샘열매,Baya Ziuela
Sitrus Berry,Baie Sitrus,Tsitrubeere,Baccacedro,オボンのみ,자뭉열매,Baya Zidra
Figy Berry,Baie Figuy,Giefebeere,Baccafico,フィラのみ,무화열매,Baya Higog
Wiki Berry,Baie Wiki,Wikibeere,Baccaprugna,ウイのみ,위키열매,Baya Wiki
Mago Berry,Baie Mago,Magobeere,Baccamango,マゴのみ,마고열매,Baya Ango
Aguav Berry,Baie Gowav,Gauvebeere,Baccaguava,バンジのみ,아바열매,Baya Guaya
Iapapa Berry,Baie Papaya,Yapabeere,Baccapaia,イアのみ,파야열매,Baya Pabaya
Razz Berry,Baie Framby,Himmihbeere,Baccalampon,ズリのみ,라즈열매,Baya Frambu
Bluk Berry,Baie Remu,Morbbeere,Baccamora,ブリーのみ,블리열매,Baya Oram
Nanab Berry,Baie Nanab,Nanabbeere,Baccabana,ナナのみ,나나열매,Baya Latano
Wepear Berry,Baie Repoi,Nirbebeere,Baccapera,セシナのみ,서배열매,Baya Peragu
Pinap Berry,Baie Nanana,Sananabeere,Baccananas,パイルのみ,파인열매,Baya Pinia
Pomeg Berry,Baie Grena,Granabeere,Baccagrana,ザロクのみ,유석열매,Baya Grana
Kelpsy Berry,Baie Alga,Setangbeere,Baccalga,ネコブのみ,시마열매,Baya Algama
Qualot Berry,Baie Qualot,Qualotbeere,Baccaloquat,タポルのみ,파비열매,Baya Ispero
Hondew Berry,Baie Lonme,Honmelbeere,Baccamelon,ロメのみ,로매열매,Baya Meluce
Grepa Berry,Baie Resin,Labrusbeere,Baccauva,ウブのみ,또뽀열매,Baya Uvav
Tamato Berry,Baie Tamato,Tamotbeere,Baccamodoro,マトマのみ,토망열매,Baya Tamate
Cornn Berry,Baie Siam,Saimbeere,Baccavena,モコシのみ,수숙열매,Baya Mais
Magost Berry,Baie Mangou,Magostbeere,Baccagostan,ゴスのみ,고스티열매,Baya Aostan
Rabuta Berry,Baie Rabuta,Rabutabeere,Baccambutan,ラブタのみ,라부탐열매,Baya Rautan
Nomel Berry,Baie Tronci,Tronzibeere,Baccalemon,ノメルのみ,노멜열매,Baya Monli
Spelon Berry,Baie Kiwan,Kiwanbeere,Baccamelos,ノワキのみ,메호키열매,Baya Wikano
Pamtre Berry,Baie Palma,Pallmbeere,Baccapalma,シーヤのみ,자야열매,Baya Plama
Watmel Berry,Baie Stekpa,Wasmelbeere,Baccacomero,カイスのみ,슈박열매,Baya Sambia
Durin Berry,Baie Durin,Durinbeere,Baccadurian,ドリのみ,두리열매,Baya Rudion
Belue Berry,Baie Myrte,Myrtilbeere,Baccartillo,ベリブのみ,루베열매,Baya Andano
Liechi Berry,Baie Lichii,Lydzibeere,Baccalici,チイラのみ,치리열매,Baya Lichi
Ganlon Berry,Baie Lingan,Linganbeere,Baccalongan,リュガのみ,용아열매,Baya Gonlan
Salac Berry,Baie Sailak,Salkabeere,Baccasalak,カムラのみ,캄라열매,Baya Aslac
Petaya Berry,Baie Pitaye,Tahaybeere,Baccapitaya,ヤタピのみ,야타비열매,Baya Yapati
Apicot Berry,Baie Abriko,Apikobeere,Baccacocca,ズアのみ,규살열매,Baya Aricoc
Lansat Berry,Baie Lansat,Lansatbeere,Baccalangsa,サンのみ,랑사열매,Baya Zonlan
Starf Berry,Baie Frista,Krambobeere,Baccambola,スターのみ,스타열매,Baya Arabol
Enigma Berry,Baie Enigma,Enigmabeere,Baccaenigma,ナゾのみ,의문열매,Baya Enigma
Occa Berry,Baie Chocco,Koakobeere,Baccacao,オッカのみ,오카열매,Baya Caoca
Passho Berry,Baie Pocpoc,Foepasbeere,Baccapasflo,イトケのみ,꼬시개열매,Baya Pasio
Wacan Berry,Baie Parma,Kerzalberre,Baccaparmen,ソクノのみ,초나열매,Baya Gualot
Rindo Berry,Baie Ratam,Grindobeere,Baccarindo,リンドのみ,린드열매,Baya Tamar
Yache Berry,Baie Nanone,Kiroyabeere,Baccamoya,ヤチェのみ,플카열매,Baya Rimoya
Chople Berry,Baie Pomroz,Rospelbeere,Baccarosmel,ヨプのみ,로플열매,Baya Pomaro
Kebia Berry,Baie Kébia,Grarzbeere,Baccakebia,ビアーのみ,으름열매,Baya Kebia
Shuca Berry,Baie Jouca,Schukebeere,Baccanaca,シュカのみ,슈캐열매,Baya Acardo
Coba Berry,Baie Cobaba,Kobabeere,Baccababa,バコウのみ,바코열매,Baya Kouba
Payapa Berry,Baie Yapap,Pyapabeere,Baccapayapa,ウタンのみ,야파열매,Baya Payapa
Tanga Berry,Baie Panga,Tanigabeere,Baccaitan,タンガのみ,리체열매,Baya Yecana
Charti Berry,Baie Charti,Chiaribeere,Baccaciofo,ヨロギのみ,루미열매,Baya Alcho
Kasib Berry,Baie Sédra,Zitarzbeere,Baccacitrus,カシブのみ,수불열매,Baya Drasi
Haban Berry,Baie Fraigo,Terirobeere,Baccahaban,ハバンのみ,하반열매,Baya Anjiro
Colbur Berry,Baie Lampou,Burleobeere,Baccaxan,ナモのみ,마코열매,Baya Dillo
Babiri Berry,Baie Babiri,Babiribeere,Baccababiri,リリバのみ,바리비열매,Baya Baribá
Chilan Berry,Baie Zalis,Latchibeere,Baccacinlan,ホズのみ,카리열매,Baya Chilan
Micle Berry,Baie Micle,Wunfrubeere,Baccaracolo,ミクルのみ,미클열매,Baya Lagro
Custap Berry,Baie Chérim,Eipfelbeere,Baccacrela,イバンのみ,애슈열매,Baya Chiri
Jaboca Berry,Baie Jacoba,Jabocabeere,Baccajaba,ジャポのみ,자보열매,Baya Jaboca
Rowap Berry,Baie Pommo,Roselbeere,Baccaroam,レンブのみ,애터열매,Baya Magua
Roseli Berry,Baie Selro,Hibisbeere,Baccarcadè,ロゼルのみ,로셀열매,Baya Hibis
Kee Berry,Baie Éka,Akibeere,Baccalighia,アッキのみ,악키열매,Baya Biglia
Maranga Berry,Baie Rangma,Tarabeere,Baccapane,タラプのみ,타라프열매,Baya Maranga
Coin Case,Boite Jetons,Münzkorb,Salvadanaio,コインケース,동전케이스,Monedero
Itemfinder,Cherch'objet,Detektor,Detector,ダウジングマシン,다우징머신,Buscaobjetos
Old Rod,Canne,Angel,Amo Vecchio,ボロのつりざお,낡은낚싯대,Caña Vieja
Good Rod,Super Canne,Profiangel,Amo Buono,いいつりざお,좋은낚싯대,Caña Buena
Super Rod,Mega Canne,Superangel,Super Amo,すごいつりざお,대단한낚싯대,Supercaña
S.S. Ticket,Passe Bateau,Bootsticket,Biglietto Nave,ふねのチケット,승선티켓,Ticket Barco
Oak's Parcel,Colis Chen,Eichs Paket,Pacco Oak,おとどけもの,전해줄물건,Correo-Oak
Poké Flute,Pokéflute,Pokéflöte,Pokéflauto,ポケモンのふえ,포켓몬피리,Poké Flauta
Secret Key,Clé Secrète,?-Öffner,Chiave Segreta,ひみつのカギ,비밀의열쇠,Llave Secreta
Bike Voucher,Bon Commande,Rad Coupon,Buono Bici,ひきかえけん,--,Bono Bici
Gold Teeth,Dent D'or,Goldzähne,Denti d’Oro,きんのいれば,--,Dientes Oro
Card Key,Carte Magn.,Türöffner,Apriporta,カードキー,카드키,Llave Magnética
Lift Key,Cle Asc.,Liftöffner,Chiave Ascensore,エレベータのカギ,--,Llave Ascensor
Silph Scope,Scope Sylphe,Silph Scope,Spettrosonda,シルフスコープ,--,Scope Silph
Bicycle,Bicyclette,Fahrrad,Bicicletta,じてんしゃ,자전거,Bici
Town Map,Carte,Karte,Mappa,タウンマップ,타운맵,Mapa
GS Ball,GS Ball,GS-Ball,GS Ball,ジーエスボール,GS볼,GS Ball
Egg Ticket,Ticket Oeuf,Ei-Ticket,Bigl.Uovo,タマゴけん,--,Ticket Huevo
Clear Bell,Glas Transparent,Klarglocke,Campana Chiara,とうめいなスズ,크리스탈방울,Campana Clara
Blue Card,Carte Bleue,Blaue Karte,Carta Blu,ブルーカード,블루카드,Tarjeta Azul
SquirtBottle,Carapuce à O,Schiggykanne,Annaffiatoio,ゼニガメじょうろ,꼬부기물뿌리개,Regadera
Red Scale,Écaillerouge,Rote Haut,Squama Rossa,あかいウロコ,빨간비늘,Escama Roja
Lost Item,Poupée perdue,Fundsache,Strumento Perso,おとしもの,분실물,Obj. Perdido
Pass,Passe Train,Fahrschein,Superpass,リニアパス,리니어패스,Magnetopase
Machine Part,Partie de Machine,Spule,Pezzo macch.,きかいのぶひん,기계부품,Maquinaria
Silver Wing,Argent'Aile,Silberflügel,Aladargento,ぎんいろのはね,은빛날개,Ala Plateada
Rainbow Wing,Arcenci'Aile,Buntschwinge,Ala d'Iride,にじいろのはね,무지개빛날개,Ala Arcoíris
Mystery Egg,Œuf Mystère,Rätsel-Ei,Uovo Mistero,ふしぎなタマゴ,이상한알,Huevo Mist
SecretPotion,Potionsecret,Geheimtrank,Poz.Segreta,ひでんのくすり,비전신약,Poc. Secreta
Mach Bike,Vélo de Course,Eilrad,Bici da corsa,マッハじてんしゃ,마하자전거,Bici de Carreras
Contest Pass,Passe Concours,Wettbewerbskarte,Tessera Gare,コンテストパス,콘테스트패스,Pase Concurso
